feature,importance,importance_normalized
categorical__from_country_CH,6.9568480185726695,0.0820059689954654
categorical__to_country_US,6.7285872061330005,0.0793152750119496
categorical__to_country_HK,5.958268268545284,0.0702349054618615
categorical__receiving_currency_USD,5.1253919026654255,0.0604171211355319
categorical__payment_currency_USD,5.104799903065592,0.0601743866563209
categorical__to_country_SG,3.937972656261851,0.0464200544114598
categorical__to_country_AE,3.7416770515615543,0.0441061600687886
numeric__high_value_transaction,3.5394827426059927,0.0417227329496389
categorical__to_country_DE,3.4803894909887387,0.0410261532130932
categorical__to_country_NL,3.166418042960093,0.0373251189568092
categorical__to_country_CH,2.97489524598876,0.0350674855417302
numeric__log_amount_received,2.861617061328912,0.0337321843716776
numeric__log_amount_paid,2.8609500979430176,0.0337243223372335
categorical__to_country_GB,2.710408952471796,0.0319497726453189
categorical__from_country_NL,2.4739318612503736,0.0291622267683542
categorical__from_country_US,2.369198564492891,0.0279276510720392
categorical__from_country_HK,2.249734073453032,0.0265194269276969
categorical__from_country_DE,2.1430851045228225,0.0252622696610526
categorical__from_country_GB,1.7542515862913053,0.0206787759070761
categorical__from_country_AE,1.7330348782280651,0.0204286774862144
numeric__payment_format_Cash,1.563279138920263,0.0184276299058571
categorical__from_country_SG,1.5585179158889413,0.0183715055364236
numeric__payment_format_Cheque,1.3338105873254316,0.0157226993284919
numeric__amount_received,0.8491089848386699,0.0100091312759104
categorical__payment_currency_JPY,0.6952181376669303,0.008195095952994
categorical__receiving_currency_JPY,0.6951638924913447,0.0081944565214331
categorical__payment_currency_CNY,0.62911995561946,0.0074159434613526
categorical__receiving_currency_CNY,0.6230605497002654,0.0073445163649702
numeric__amount_paid,0.5567171391753154,0.0065624731678157
numeric__same_account,0.4198656862898421,0.004949294904851
numeric__payment_format_Reinvestment,0.4182186763913547,0.0049298802730651
numeric__same_country,0.3723019110406825,0.0043886223893703
numeric__cross_border_transaction,0.3723019110406806,0.0043886223893703
categorical__payment_currency_INR,0.3527806628364262,0.0041585097189889
categorical__receiving_currency_INR,0.3526053013506332,0.0041564425919612
categorical__receiving_currency_RUB,0.3516811717742855,0.0041455491325693
categorical__payment_currency_RUB,0.3516587608079268,0.0041452849564644
numeric__same_bank,0.3311783579497735,0.0039038659579012
numeric__payment_format_ACH,0.3102397300784415,0.0036570454921615
categorical__receiving_currency_UK Pound,0.1706714285584153,0.0020118415468338
categorical__payment_currency_UK Pound,0.1706520493958518,0.0020116131090413
numeric__payment_format_Wire,0.1556863796438553,0.0018352007098625
numeric__payment_format_Credit Card,0.119867803447178,0.0014129783124197
numeric__amount_difference_abs,0.0363291867780532,0.0004282413754904
numeric__amount_difference,0.036204030107453,0.0004267660530424
numeric__amount_ratio,0.0347633145138402,0.0004097831783288
numeric__payment_format_Bitcoin,0.0344037415268033,0.0004055446020155
categorical__payment_currency_EUR,0.019292779036414,0.0002274195203449
numeric__same_currency,0.0138142148881188,0.0001628392735887
numeric__currency_conversion,0.0138142148881134,0.0001628392735886
numeric__amount_mismatch_flag,0.0124489745263684,0.000146746086203
categorical__receiving_currency_EUR,0.0048818833252426,5.754668946921503e-05
categorical__payment_currency_Bitcoin,0.0008267796473522,9.7459173961888e-06
categorical__receiving_currency_Bitcoin,0.0008267796473522,9.7459173961888e-06
categorical__receiving_currency_BRL,0.0003365969362171,3.967739102780477e-06
categorical__payment_currency_BRL,0.0002998083894058,3.5340828807183177e-06
categorical__receiving_currency_MXN,0.0001931712745987,2.2770653481672245e-06
categorical__payment_currency_MXN,0.0001751423660554,2.064544086946937e-06
categorical__receiving_currency_CAD,7.649436320521886e-05,9.01700649574069e-07
categorical__payment_currency_CAD,5.7213971328349705e-05,6.744271466523607e-07
categorical__payment_currency_AUD,2.477275207334214e-05,2.920163748058495e-07
categorical__receiving_currency_AUD,1.679346744141623e-05,1.9795812222008118e-07
numeric__transaction_day,0.0,0.0
numeric__transaction_hour,0.0,0.0
numeric__cross_border_currency_flag,0.0,0.0
numeric__transaction_day_of_week,0.0,0.0
numeric__is_weekend,0.0,0.0
numeric__transaction_month,0.0,0.0
